user,funding_source,amount
50678,7961,221.8
50050,7959,5.3
52001,7959,67.39
54850,7959,62
50499,7959,200
50457,7958,33187.84
50791,7958,500
50463,7954,9953.05
39133,5936,100
39229,5936,90
8606,467,50
24200,467,50
33526,4787,95
36188,4787,75
28619,3685,8.29
16417,1586,100
59195,8266,230
37648,5164,26
34473,5164,14.82
18871,1904,10
50966,7274,6853.52
30538,3059,226.5
33407,3059,5.6
38656,3059,100
42254,3059,21.32
42968,3059,43.49
50971,3059,150
43220,1204,50
37393,4276,108.93
33464,4315,160.61
37196,4315,384.47
37345,4315,280.19
38366,4315,275
7357,4829,250
33564,4829,222.32
33565,4829,82.09
33567,4829,250.01
33568,4829,196.48
33570,4829,250
50027,4829,141.97
50378,4829,50
52351,4829,547.79
52749,4829,182.88
59321,4829,100
33843,4829,250.02
33844,4829,250
33943,4829,1300
33959,4829,150
12844,4829,974.49
32962,4829,1170.06
45976,4829,289.66
19004,4299,21
30614,3280,45
30684,3280,470
30685,3280,205
23180,2240,100
30796,2240,198.96
37820,2240,150
43586,2240,100
43588,2240,95.39
42098,2240,212.85
23177,2240,311.24
25594,2240,50
30797,2240,100.05
31139,2240,100
31156,2240,148.87
32127,2240,50
32306,2240,161.1
32636,2240,200
37875,2240,114.32
42083,2240,200
42088,2240,200
43986,2240,275
44878,2240,100
60512,2240,50
60547,2240,200
60857,2240,250
48143,2240,275
30142,4073,68.27
36901,4073,435.69
42675,6622,2.01
45177,6622,400
39405,3394,18
28056,3606,37.77
29769,3606,114.3
28574,3606,138.83
29649,3606,175
35178,3606,300
39794,3606,23.54
41101,3606,460
44526,3606,265.46
44527,3606,285.02
57686,3606,500
58615,3606,500
27455,1670,190.1
38801,1670,582.24
21939,1669,100
38985,1669,212.97
47496,1668,415
48338,1668,845
30138,1668,310
30139,1668,220
30140,1668,420
25422,3062,21.38
27530,3508,834.93
28485,3508,380
36849,3508,43
52005,3508,830
52009,3508,955
52022,3508,995
52068,3508,901
39065,5957,337.77
39081,5957,404.32
39319,5957,450
39574,5957,450
42403,5957,439.66
42405,5957,288.1
42406,5957,353.25
42407,5957,407.66
42412,5957,372.97
42449,5957,332.57
42517,5957,383.62
42564,5957,307.84
42800,5957,443.18
42815,5957,450
43430,5957,414.9
48029,5957,363.76
49181,5957,454.67
52174,5957,485.29
57505,5957,150
58598,5957,400
39311,5429,5000
37095,5429,8.65
19356,2506,250
19360,2506,6.26
19807,2506,250
20003,2506,75
20004,2506,84
19352,2506,21
19355,2506,50
52827,7887,500
52819,7873,32.77
52826,7873,500
52862,7873,500
52875,7872,152.17
52880,7872,8.98
18528,1749,25
16028,3924,69.34
50988,3924,262.59
48564,7522,2500
48565,7522,2500
48577,7522,600
51415,7522,999.99
51416,7522,2350
51679,7522,2075
51680,7522,950
51682,7522,600
54677,7764,308.3
32085,4515,10
35223,4515,10
36442,4515,10
27752,4075,45
27950,4075,321.65
28680,4075,40
29939,4075,30
29973,4075,21.75
33183,4075,50
35552,4075,60
36642,4075,60
40657,4075,40
43363,4075,35
54373,4075,40
24114,916,10
28683,3757,14.79
23886,3711,6.5
34216,812,157.93
49339,812,1437.56
39482,3268,25
39495,3268,25
39500,3268,25
40203,3268,25
47066,1263,15.7
52039,1263,189
40620,1263,250
35007,5918,250
46175,5918,250
46854,5918,250
47866,5918,250
48863,5918,200
55340,5918,250
54007,5918,250
54017,5918,250
54068,5918,250
54126,5918,250
54248,5918,250
54594,5918,250
54616,5918,250
54621,5918,250
34984,4653,199.18
34994,4653,230
45401,4653,430.41
49328,4653,250
45397,4653,352.26
45399,4653,250
45390,4653,193.04
48511,4653,250
48558,4653,250
48560,4653,246.15
18520,1167,151.18
18522,1167,756.98
39217,6000,630.97
39220,6000,348.81
39221,6000,1287.1
39222,6000,1094.78
39225,6000,357.14
39227,6000,998.97
39228,6000,1500
42366,6000,314.71
39115,5976,43.5
48540,5976,447.08
16383,189,500
36282,189,885.39
51921,189,600
34521,189,738.91
44507,189,423.62
