team_id,concession_amount,amount,funding_source_id,message
3378,"$5,000",5000,46,
5173,"$5,000",5000,3297,
5185,"$5,000",5000,2080,
6872,"$5,000",5000,6962,
5750,"$5,000",5000,4052,
5542,"$4,500",4500,3271,
5470,"$4,500",4500,2961,
5617,"$4,500",4500,3552,
6194,"$4,500",4500,5267,
6918,"$4,500",4500,7071,
7209,"$4,500",4500,8185,
4721,"$4,500",4500,914,
5308,"$4,500",4500,2356,
4829,"$4,500",4500,1132,
6613,"$4,500",4500,6263,
6641,"$4,500",4500,8167,
6607,"$4,000",4000,6238,
5510,"$4,000",4000,3862,
5126,"$4,000",4000,2992,
5655,"$4,000",4000,5095,
6106,"$4,000",4000,4842,
6226,"$4,000",4000,5217,
4818,"$4,000",4000,1152,
5544,"$4,000",4000,3292,
6352,"$4,000",4000,5683,
4853,"$4,000",4000,1242,
6616,"$3,500",3500,6273,
6348,"$3,500",3500,5699,
4670,"$3,500",3500,815,
4775,"$3,500",3500,1007,
5143,"$3,500",3500,1920,
6099,"$3,500",3500,4858,
5590,"$3,500",3500,4244,
4725,"$3,500",3500,1238,
5257,"$3,500",3500,5257,
4093,"$3,500",3500,270,
5741,"$3,500",3500,4105,
3899,"$3,500",3500,180,
6248,"$3,500",3500,5254,
5670,"$3,500",3500,4131,
6505,"$3,500",3500,5924,
4582,"$3,000",3000,640,
4785,"$3,000",3000,1038,
5729,"$3,000",3000,3932,
6657,"$3,000",3000,6428,
3454,"$3,000",3000,74,
5509,"$3,000",3000,3104,
5784,"$3,000",3000,5028,
4989,"$3,000",3000,1757,
3628,"$3,000",3000,109,
5249,"$3,000",3000,8920,
6817,"$3,000",3000,6807,
4713,"$3,000",3000,861,
6554,"$3,000",3000,6205,
5561,"$3,000",3000,5212,
5237,"$3,000",3000,2160,
4831,"$3,000",3000,7672,
4855,"$3,000",3000,1179,
5532,"$3,000",3000,3210,
5424,"$3,000",3000,2765,
4995,"$3,000",3000,1566,
5011,"$3,000",3000,1543,
6982,"$2,500",2500,7398,
5357,"$2,500",2500,2490,
6786,"$2,500",2500,6954,
7271,"$2,500",2500,8584,
5461,"$2,500",2500,2847,
3571,"$1,700",1700,100,
6052,$800,800,4645,
4677,"$2,500",2500,812,
4626,"$2,500",2500,1008,
5033,"$2,500",2500,1783,
4643,"$2,500",2500,1044,
6149,"$2,500",2500,5114,
6363,"$2,500",2500,5719,
4669,"$2,500",2500,924,
6467,"$2,500",2500,6077,
5092,"$2,500",2500,1769,
6819,"$2,500",2500,6805,
3370,"$2,500",2500,44,
5756,"$2,500",2500,4849,
6845,"$2,500",2500,6890,
5352,"$2,500",2500,2464,
6221,"$2,500",2500,5177,
6033,"$2,500",2500,4497,
6712,"$2,500",2500,6583,
5258,"$2,500",2500,6818,
4681,"$2,500",2500,819,
7000,"$2,000",2000,7580,
6536,"$2,000",2000,6042,
6353,"$2,000",2000,5575,
3943,"$2,000",2000,482,
4870,"$2,000",2000,1213,
5571,"$2,000",2000,5686,
4914,"$2,000",2000,1352,
5205,"$2,000",2000,5470,
6269,"$2,000",2000,5429,
5650,"$2,000",2000,4318,
4777,"$2,000",2000,1024,
4809,"$2,000",2000,3924,
5058,"$1,800",1800,5207,
6034,$200,200,4564,
5338,"$2,000",2000,2667,
5540,"$2,000",2000,3257,
3320,"$2,000",2000,8431,
6100,"$2,000",2000,4812,
6595,"$2,000",2000,6224,
4563,"$2,000",2000,2804,
5103,"$2,000",2000,1800,
6244,"$2,000",2000,5239,
6109,"$2,000",2000,4771,
4241,"$2,000",2000,648,
3340,"$2,000",2000,38,
6236,"$2,000",2000,5248,
3357,"$2,000",2000,49,
4429,"$2,000",2000,495,
6378,"$2,000",2000,5714,
6173,"$2,000",2000,5426,
6307,"$2,000",2000,5497,
5745,"$1,500",1500,5543,
6792,"$1,500",1500,6757,
6034,"$1,500",1500,4564,
4678,"$1,500",1500,878,
6908,"$1,500",1500,7056,
6423,"$1,500",1500,5780,
3908,"$1,400",1400,189,
4043,$100,100,1143,
4885,"$1,500",1500,1522,
5618,"$1,500",1500,3556,
6723,"$1,500",1500,8077,
5761,"$1,500",1500,4093,
4965,"$1,500",1500,1448,
5037,"$1,500",1500,6619,
3325,"$1,500",1500,4709,
7004,"$1,500",1500,7525,
6624,"$1,500",1500,6305,
6858,"$1,500",1500,6917,
5223,"$1,500",1500,2147,
6608,"$1,500",1500,6242,
4149,"$1,500",1500,653,
6258,"$1,500",1500,5282,
6051,"$1,500",1500,4853,
6670,"$1,500",1500,6525,
4493,"$1,500",1500,544,
5502,"$1,500",1500,3100,
5681,"$1,500",1500,5428,
6148,"$1,500",1500,4960,
5740,"$1,500",1500,3978,
5539,"$1,500",1500,3480,
3578,"$1,500",1500,2389,
5569,"$1,500",1500,5343,
6518,"$1,500",1500,6020,
6268,"$1,500",1500,5304,
6952,"$1,500",1500,7205,
6238,"$1,500",1500,5308,
5430,"$1,500",1500,2760,
6896,"$1,500",1500,7037,
4990,"$1,500",1500,1478,
5624,"$1,500",1500,3606,
4806,"$1,500",1500,1094,
5093,"$1,500",1500,6633,
