activity_transaction_id,postage_cost,third_party_cost
3357385,0,12.35
3357388,0,12.35
3357389,0,12.35
3357376,0,12.35
3357394,0,12.35
3357377,0,12.35
3357402,0,45.38
3357401,0,12.35
3357380,0,12.35
3357387,0,12.35
3377179,0,24.35
3377220,0,20.02
3377235,0,20.02
3378211,0,20.02
3378306,0,16.84
3378328,0,16.84
3378480,0,16.84
3378489,0,16.84
3378493,0,16.84
3382685,0,19.35
3382875,0,16.03
3382706,0,19.35
3382726,0,19.35
3382749,0,19.35
3382832,0,16.43
3383743,0,19.64
3383750,0,19.64
3383780,0,19.64
3383797,0,19.64
3383801,0,18.71
3398343,0,19.75
3398351,0,16.84
3398366,0,19.75
3398390,0,19.75
3398394,0,16.84
3398400,0,19.75
3398473,0,19.64
3398475,0,19.64
3398479,0,19.64
3404387,0,16.84
3404404,0,16.84
3404433,0,19.75
3404449,0,19.75
3339481,0,8.84
3339856,0,8.84
3350998,0,8.84
3350895,0,8.84
3444137,0,18.71
3339679,0,8.84
3339903,0,8.84
3516625,0,69.29
3459859,0,25.37
3560118,0,16.81
3556100,0,16.81
3556071,0,16.81
3555895,0,19.71
3554744,0,16.81
3554701,0,16.81
3463077,0,25.37
3449127,0,8.84
3520456,0,32.57
3520034,0,50.89
3520496,0,32.57
3520518,0,46.67
3537208,0,16.06
3518919,0,32.38
3520606,0,46.67
3520571,0,46.67
3520546,0,51.79
3520536,0,51.79
3520530,0,46.67
3520501,0,46.67
3520490,0,46.67
3520465,0,46.67
3520104,0,51.79
3520088,0,32.57
3520063,0,19.79
3518939,0,31.52
3518914,0,31.52
3339529,0,8.84
3352895,0,8.84
3444071,0,16.84
3352483,0,8.84
3350949,0,8.84
