activity_transaction_id,type,value,value_was,status,gift_charge,note_charge,packaging_charge,pick_pack_charge,shipping_charge,total_charge,undeliverable_charge
3970277,updated,Shipped,Shipped,Shipped,0,0,100,450,0,550,0
4017633,updated,Shipped,Shipped,Shipped,0,0,100,0,6194,6294,0
4019367,updated,Shipped,Shipped,Shipped,0,600,200,1410,1152,3362,0
4020857,updated,Shipped,Shipped,Shipped,0,600,50,575,410,1635,0
4018655,updated,Shipped,Shipped,Shipped,0,600,100,575,598,1873,0
4022152,updated,Shipped,Shipped,Shipped,0,600,200,1200,1411,3411,0
4015078,updated,Shipped,Shipped,Shipped,0,600,100,450,2846,3996,0
4020909,updated,Shipped,Shipped,Shipped,0,600,100,491,686,1877,0
4021953,updated,Shipped,Shipped,Shipped,0,300,50,450,422,1222,0
4022852,updated,Shipped,Shipped,Shipped,0,600,200,575,1190,2565,0
4018654,updated,Shipped,Shipped,Shipped,0,600,100,575,598,1873,0
4016542,updated,Shipped,Shipped,Shipped,0,600,250,2248,2114,5212,0
4006641,updated,Shipped,Shipped,Shipped,0,600,50,450,464,1564,0
4020939,updated,Shipped,Shipped,Shipped,0,600,150,700,1152,2602,0
4020924,updated,Shipped,Shipped,Shipped,0,600,50,491,464,1605,0
4020813,updated,Shipped,Shipped,Shipped,0,0,100,700,1009,1809,0
4014792,updated,Shipped,Shipped,Shipped,0,0,150,950,1392,2492,0
4012421,updated,Shipped,Shipped,Shipped,0,600,150,950,4788,6488,0
4013148,updated,Shipped,Shipped,Shipped,0,0,100,700,1009,1809,0
4013131,updated,Shipped,Shipped,Shipped,0,0,100,700,1009,1809,0
4018641,updated,Shipped,Shipped,Shipped,0,600,150,1075,1325,3150,0
4021511,updated,Shipped,Shipped,Shipped,0,600,100,700,733,2133,0
4020462,updated,Shipped,Shipped,Shipped,0,0,400,1200,1493,3093,0
4018774,updated,Shipped,Shipped,Shipped,0,600,50,491,580,1721,0
3920812,updated,Shipped,Shipped,Shipped,0,0,0,0,1367,1367,0
4019235,updated,Shipped,Shipped,Shipped,0,0,50,700,598,1348,0
4023739,updated,Shipped,Shipped,Shipped,0,0,50,579,1064,1693,0
4021068,updated,Shipped,Shipped,Shipped,0,0,100,403,733,1236,0
4023852,updated,Shipped,Shipped,Shipped,0,0,50,491,686,1227,0
3959100,updated,Shipped,Shipped,Shipped,0,600,200,950,1019,2769,0
3981466,updated,Shipped,Shipped,Shipped,0,0,0,825,438,1263,0
3981553,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981605,updated,Shipped,Shipped,Shipped,0,0,0,825,422,1247,0
3981615,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981578,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981528,updated,Shipped,Shipped,Shipped,0,0,0,825,397,1222,0
3981444,updated,Shipped,Shipped,Shipped,0,0,0,825,438,1263,0
3981554,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981514,updated,Shipped,Shipped,Shipped,0,0,0,825,422,1247,0
3981467,updated,Shipped,Shipped,Shipped,0,0,0,825,410,1235,0
3981590,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981602,updated,Shipped,Shipped,Shipped,0,0,0,825,422,1247,0
3981508,updated,Shipped,Shipped,Shipped,0,0,0,825,422,1247,0
3981621,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981449,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981543,updated,Shipped,Shipped,Shipped,0,0,0,825,438,1263,0
3981626,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981598,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981577,updated,Shipped,Shipped,Shipped,0,0,0,825,410,1235,0
3981504,updated,Shipped,Shipped,Shipped,0,0,0,825,438,1263,0
3981473,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981552,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981541,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981588,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
4018652,updated,Shipped,Shipped,Shipped,0,600,100,575,598,1873,0
4014179,updated,Shipped,Shipped,Shipped,0,0,250,1480,2970,4700,0
3981642,updated,Shipped,Shipped,Shipped,0,0,0,825,403,1228,0
3981673,updated,Shipped,Shipped,Shipped,0,0,0,825,438,1263,0
3981630,updated,Shipped,Shipped,Shipped,0,0,0,825,403,1228,0
3981619,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981729,updated,Shipped,Shipped,Shipped,0,0,0,825,422,1247,0
3981660,updated,Shipped,Shipped,Shipped,0,0,0,825,438,1263,0
3981712,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981650,updated,Shipped,Shipped,Shipped,0,0,0,825,438,1263,0
3981726,updated,Shipped,Shipped,Shipped,0,0,0,825,422,1247,0
3981702,updated,Shipped,Shipped,Shipped,0,0,0,825,410,1235,0
3981754,updated,Shipped,Shipped,Shipped,0,0,0,825,422,1247,0
3981685,updated,Shipped,Shipped,Shipped,0,0,0,825,455,1280,0
3981731,updated,Shipped,Shipped,Shipped,0,0,0,825,422,1247,0
