activity_transaction_id,type,value,value_was,status,gift_charge,note_charge,packaging_charge,pick_pack_charge,shipping_charge,total_charge,undeliverable_charge
3472288,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3473655,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3474459,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3476464,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3476603,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3477748,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3482703,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3487577,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3498571,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3498593,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3498856,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3499398,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3500631,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3502514,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3546266,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3565597,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3567680,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3611509,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3618049,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3726465,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3807693,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3858656,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3858666,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3862996,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3863137,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3863234,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3863278,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3863289,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3865109,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3865151,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3865190,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3865249,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3865501,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3865633,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3865969,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3866113,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3866198,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3866242,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3866752,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3867445,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3870976,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3871005,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3871031,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3871732,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3878651,updated,Opened,Opened,Opened,5500,0,0,0,0,5500,0
3881919,updated,Opened,Opened,Opened,3000,0,0,0,0,3000,0
3882083,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3882501,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3882840,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3882874,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3884543,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3888385,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3891455,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3891459,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3891660,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3891882,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3892305,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3896887,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3896889,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3896892,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3896894,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3896895,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3896900,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3896925,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3897884,updated,Opened,Opened,Opened,821,0,0,0,0,821,0
3897886,updated,Opened,Opened,Opened,821,0,0,0,0,821,0
3898394,updated,Opened,Opened,Opened,6157,0,0,0,0,6157,0
3901014,updated,Opened,Opened,Opened,12000,0,0,0,0,12000,0
3901015,updated,Opened,Opened,Opened,3000,0,0,0,0,3000,0
3901093,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3901177,updated,Opened,Opened,Opened,3500,0,0,0,0,3500,0
3901283,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3901530,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3901537,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3901613,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3901626,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3902927,updated,Opened,Opened,Opened,6000,0,0,0,0,6000,0
3902957,updated,Opened,Opened,Opened,5500,0,0,0,0,5500,0
3903304,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3903418,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3904890,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3905528,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3906123,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3906133,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3906145,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3906306,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3907215,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3907216,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3907257,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3907258,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3907259,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3907260,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3907268,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3907462,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3907539,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3910367,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3910425,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3910439,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3910573,updated,Opened,Opened,Opened,10000,0,0,0,0,10000,0
3910863,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3911854,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3912038,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3912152,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3912258,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3912342,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3912529,updated,Opened,Opened,Opened,2099,0,0,0,0,2099,0
3912782,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3912804,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3912991,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913016,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913028,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913145,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913153,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913217,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913248,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913254,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913302,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913303,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913309,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913314,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913706,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3913709,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3914376,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3914433,updated,Opened,Opened,Opened,2726,0,0,0,0,2726,0
3914542,updated,Opened,Opened,Opened,2799,0,0,0,0,2799,0
3914628,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3914679,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3914686,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3915190,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3915199,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3915219,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3915270,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3915304,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3915328,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3915377,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3915650,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3915676,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3915724,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3915886,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3916106,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3916109,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3916131,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3916134,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3916192,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3916464,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3916684,updated,Opened,Opened,Opened,3500,0,0,0,0,3500,0
3916709,updated,Opened,Opened,Opened,4000,0,0,0,0,4000,0
3918149,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3918465,updated,Opened,Opened,Opened,10000,0,0,0,0,10000,0
3919534,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3919610,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3920800,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3921980,updated,Opened,Opened,Opened,2806,0,0,0,0,2806,0
3921986,updated,Opened,Opened,Opened,2806,0,0,0,0,2806,0
3922908,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3922931,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3922933,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3922934,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3923002,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3923004,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3923005,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3923007,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3923098,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3923199,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3923213,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3923226,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3923227,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3923229,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3923236,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3923599,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3923608,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3923777,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3923798,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3923829,updated,Opened,Opened,Opened,1366,0,0,0,0,1366,0
3923991,updated,Opened,Opened,Opened,1366,0,0,0,0,1366,0
3924028,updated,Opened,Opened,Opened,3000,0,0,0,0,3000,0
3924246,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3924277,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3924301,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3924312,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3924315,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3924380,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3924399,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3924908,updated,Opened,Opened,Opened,2482,0,0,0,0,2482,0
3924935,updated,Opened,Opened,Opened,2104,0,0,0,0,2104,0
3925129,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925131,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925144,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925167,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925168,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925195,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925211,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925225,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925233,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3925556,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3925792,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3925892,updated,Opened,Opened,Opened,10000,0,0,0,0,10000,0
3925921,updated,Opened,Opened,Opened,3000,0,0,0,0,3000,0
3927031,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3927713,updated,Opened,Opened,Opened,827,0,0,0,0,827,0
3927780,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3928117,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3929924,updated,Opened,Opened,Opened,701,0,0,0,0,701,0
3931876,updated,Opened,Opened,Opened,1411,0,0,0,0,1411,0
3931881,updated,Opened,Opened,Opened,1411,0,0,0,0,1411,0
3931888,updated,Opened,Opened,Opened,1411,0,0,0,0,1411,0
3932441,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3932451,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3932499,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3932826,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3932935,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3933238,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3933607,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3933764,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3933766,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3933782,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3933911,updated,Opened,Opened,Opened,2907,0,0,0,0,2907,0
3934686,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3934695,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3934750,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3935454,updated,Opened,Opened,Opened,1500,0,0,0,0,1500,0
3935878,updated,Opened,Opened,Opened,20000,0,0,0,0,20000,0
3935883,updated,Opened,Opened,Opened,20000,0,0,0,0,20000,0
3935895,updated,Opened,Opened,Opened,10000,0,0,0,0,10000,0
3936512,updated,Opened,Opened,Opened,5000,0,0,0,0,5000,0
3936596,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3936622,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3936728,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3936748,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3937782,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3937839,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3937972,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3938243,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3939508,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3939550,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939551,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939562,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939565,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939595,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939604,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939654,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939662,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939689,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939696,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939721,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939734,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939739,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939740,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939751,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3939759,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3940457,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3940482,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3940583,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3940584,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3940635,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3940643,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3940648,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
