activity_transaction_id,type,value,value_was,status,gift_charge,note_charge,packaging_charge,pick_pack_charge,shipping_charge,total_charge,undeliverable_charge
3471322,updated,Opened,Opened,Opened,10000,0,0,0,0,10000,0
3471323,updated,Opened,Opened,Opened,10000,0,0,0,0,10000,0
3472247,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3472278,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3472282,updated,Opened,Opened,Opened,10000,0,0,0,0,10000,0
3472284,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3472305,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3472306,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3472376,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473276,updated,Opened,Opened,Opened,2500,0,0,0,0,2500,0
3473280,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473282,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473283,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473285,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473292,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473302,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473308,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473315,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473321,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473322,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473325,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473327,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473329,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473338,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473343,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473346,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473353,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473355,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473357,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473360,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473361,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473363,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473368,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473372,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473374,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473382,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473387,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473391,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473392,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473395,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473398,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473404,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473408,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473411,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473412,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473418,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473419,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473424,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473426,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473428,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473431,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473441,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473442,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473444,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473446,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473448,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473450,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473453,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473459,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473460,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473461,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473467,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473470,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473475,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473477,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473480,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473485,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473491,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473493,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473500,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473501,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473510,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473515,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473521,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473522,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473526,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473528,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473530,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473534,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473537,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473541,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473543,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473545,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473549,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473574,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473575,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473578,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473581,updated,Opened,Opened,Opened,2000,0,0,0,0,2000,0
3473593,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473594,updated,Opened,Opened,Opened,7500,0,0,0,0,7500,0
3473603,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473605,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473642,updated,Opened,Opened,Opened,1000,0,0,0,0,1000,0
3473742,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473747,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473748,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473755,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473756,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473758,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473760,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473765,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473767,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473768,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473770,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473772,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473776,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473779,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473781,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473782,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473787,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473788,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473789,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473792,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473795,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473796,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473800,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473802,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473804,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473805,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473811,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473817,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
3473821,updated,Opened,Opened,Opened,500,0,0,0,0,500,0
