activity_transaction_id,type,value,value_was,status,gift_charge,note_charge,packaging_charge,pick_pack_charge,shipping_charge,total_charge,undeliverable_charge
3413573,updated,Opened,Opened,Opened,6554,0,0,0,0,6554,0
3413574,updated,Opened,Opened,Opened,6554,0,0,0,0,6554,0
3413579,updated,Opened,Opened,Opened,6554,0,0,0,0,6554,0
3413581,updated,Opened,Opened,Opened,6554,0,0,0,0,6554,0
3413582,updated,Opened,Opened,Opened,6554,0,0,0,0,6554,0
3413584,updated,Opened,Opened,Opened,6554,0,0,0,0,6554,0
3413666,updated,Opened,Opened,Opened,6554,0,0,0,0,6554,0
3414949,updated,Opened,Opened,Opened,10995,0,0,0,0,10995,0
3429846,updated,Opened,Opened,Opened,4736,0,0,0,0,4736,0
3439164,updated,Opened,Opened,Opened,7580,0,0,0,0,7580,0
3444300,updated,Opened,Opened,Opened,3856,0,0,0,0,3856,0
3448801,updated,Opened,Opened,Opened,13000,0,0,0,0,13000,0
3451092,updated,Opened,Opened,Opened,10850,0,0,0,0,10850,0
3451092,updated,Opened,Opened,Opened,10850,0,0,0,0,10850,0
3459751,updated,Opened,Opened,Opened,4800,0,0,0,0,4800,0
3460409,updated,Opened,Opened,Opened,2695,0,0,0,0,2695,0
3460672,updated,Opened,Opened,Opened,3595,0,0,0,0,3595,0
3462581,updated,Opened,Opened,Opened,13030,0,0,0,0,13030,0
3462581,updated,Opened,Opened,Opened,13030,0,0,0,0,13030,0
3463880,updated,Opened,Opened,Opened,3845,0,0,0,0,3845,0
3475651,updated,Opened,Opened,Opened,8495,0,0,0,0,8495,0
3479811,updated,Opened,Opened,Opened,8160,0,0,0,0,8160,0
3482787,updated,Opened,Opened,Opened,8361,0,0,0,0,8361,0
3484840,updated,Opened,Opened,Opened,5512,0,0,0,0,5512,0
3498388,updated,Opened,Opened,Opened,10000,0,0,0,0,10000,0
3498608,updated,Opened,Opened,Opened,3224,0,0,0,0,3224,0
3503376,updated,Opened,Opened,Opened,8165,0,0,0,0,8165,0
3507261,updated,Opened,Opened,Opened,8500,0,0,0,0,8500,0
3509803,updated,Opened,Opened,Opened,11277,0,0,0,0,11277,0
3511298,updated,Opened,Opened,Opened,4257,0,0,0,0,4257,0
3511298,updated,Opened,Opened,Opened,4257,0,0,0,0,4257,0
3513683,updated,Opened,Opened,Opened,11400,0,0,0,0,11400,0
3528409,updated,Opened,Opened,Opened,8129,0,0,0,0,8129,0
3537110,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
3537314,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
3537763,updated,Opened,Opened,Opened,2626,0,0,0,0,2626,0
3540873,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
3540894,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
3540914,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
3540924,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
3542812,updated,Opened,Opened,Opened,5500,0,0,0,0,5500,0
3543978,updated,Opened,Opened,Opened,4478,0,0,0,0,4478,0
3544011,updated,Opened,Opened,Opened,3790,0,0,0,0,3790,0
3544012,updated,Opened,Opened,Opened,3790,0,0,0,0,3790,0
3553642,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
3553646,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
3553667,updated,Opened,Opened,Opened,2600,0,0,0,0,2600,0
