activity_transaction_id,type,value,value_was,status,gift_charge,note_charge,packaging_charge,pick_pack_charge,shipping_charge,total_charge,undeliverable_charge
3681924,updated,Shipped,Shipped,Shipped,0,0,250,1200,5450,6900,0
3718172,updated,Shipped,Shipped,Shipped,0,500,50,450,504,1004,0
3813307,updated,Shipped,Shipped,Shipped,0,600,50,575,1097,1722,0
3811479,updated,Shipped,Shipped,Shipped,0,600,50,575,1615,2240,0
3696365,updated,Shipped,Shipped,Shipped,0,0,50,950,1142,2142,0
3798702,updated,Shipped,Shipped,Shipped,0,600,50,575,1615,2240,0
3681668,updated,Shipped,Shipped,Shipped,0,0,250,2110,4882,7242,0
3814752,updated,Shipped,Shipped,Shipped,0,600,50,450,1064,1564,0
3703819,updated,Shipped,Shipped,Shipped,0,600,100,825,1590,2515,0
3750798,updated,Shipped,Shipped,Shipped,0,600,100,825,1615,2540,0
3773305,updated,Shipped,Shipped,Shipped,0,600,100,825,1590,2515,0
3750665,updated,Shipped,Shipped,Shipped,0,600,100,825,1819,2744,0
3773307,updated,Shipped,Shipped,Shipped,0,600,100,825,1590,2515,0
3825336,updated,Shipped,Shipped,Shipped,0,600,50,450,0,500,0
3821290,updated,Shipped,Shipped,Shipped,0,600,50,450,0,500,0
3120936,updated,Shipped,Shipped,Shipped,0,300,100,450,1590,2140,0
3820576,updated,Shipped,Shipped,Shipped,0,500,100,700,1577,2377,0
3820569,updated,Shipped,Shipped,Shipped,0,500,100,700,1577,2377,0
3820578,updated,Shipped,Shipped,Shipped,0,500,100,700,1577,2377,0
3688966,updated,Shipped,Shipped,Shipped,0,600,100,450,1985,2535,0
3820416,updated,Shipped,Shipped,Shipped,0,500,100,700,1577,2377,0
3665680,updated,Shipped,Shipped,Shipped,0,600,100,700,989,1789,0
3842372,updated,Shipped,Shipped,Shipped,0,600,200,825,2494,3519,0
3842371,updated,Shipped,Shipped,Shipped,0,600,200,825,2494,3519,0
3842377,updated,Shipped,Shipped,Shipped,0,600,200,825,2494,3519,0
3842382,updated,Shipped,Shipped,Shipped,0,600,200,825,2494,3519,0
3842380,updated,Shipped,Shipped,Shipped,0,600,200,825,2494,3519,0
3842374,updated,Shipped,Shipped,Shipped,0,600,200,825,2341,3366,0
3842378,updated,Shipped,Shipped,Shipped,0,600,200,825,4753,5778,0
3842385,updated,Shipped,Shipped,Shipped,0,600,200,825,2494,3519,0
3842373,updated,Shipped,Shipped,Shipped,0,600,200,825,2494,3519,0
3842375,updated,Shipped,Shipped,Shipped,0,600,200,825,2341,3366,0
3842381,updated,Shipped,Shipped,Shipped,0,600,200,825,2494,3519,0
3712982,updated,Shipped,Shipped,Shipped,0,600,100,450,3250,3800,0
3570223,updated,Shipped,Shipped,Shipped,0,600,100,1075,1062,2237,0
3777935,updated,Shipped,Shipped,Shipped,0,600,100,825,718,1643,0
3750271,updated,Shipped,Shipped,Shipped,0,600,100,825,718,1643,0
3749103,updated,Shipped,Shipped,Shipped,0,600,100,825,718,1643,0
3680739,updated,Shipped,Shipped,Shipped,0,600,100,450,3587,4137,0
3682181,updated,Shipped,Shipped,Shipped,0,600,100,575,1590,2265,0
3672339,updated,Shipped,Shipped,Shipped,0,600,150,288,3882,4320,0
3842156,updated,Shipped,Shipped,Shipped,0,0,0,700,0,700,0
3842150,updated,Shipped,Shipped,Shipped,0,0,0,700,0,700,0
3842147,updated,Shipped,Shipped,Shipped,0,0,0,700,0,700,0
3704562,updated,Shipped,Shipped,Shipped,0,500,50,700,526,1276,0
3783475,updated,Shipped,Shipped,Shipped,0,0,0,1200,4110,5310,0
3783477,updated,Shipped,Shipped,Shipped,0,0,0,1200,4110,5310,0
