activity_transaction_id,type,value,value_was,status,gift_charge,note_charge,packaging_charge,pick_pack_charge,shipping_charge,total_charge,undeliverable_charge
3817979,updated,Shipped,Shipped,Shipped,0,0,0,0,492,492,0
3789135,updated,Shipped,Shipped,Shipped,0,0,350,0,13714,14064,0
3624972,updated,Shipped,Shipped,Shipped,0,300,0,0,0,300,0
3799647,updated,Shipped,Shipped,Shipped,0,0,0,0,2382,2382,0
3486176,updated,Shipped,Shipped,Shipped,0,0,100,700,0,800,0
3673998,updated,Shipped,Shipped,Shipped,0,0,50,0,554,604,0
3625005,updated,Shipped,Shipped,Shipped,0,300,0,0,0,300,0
3686967,updated,Shipped,Shipped,Shipped,0,600,200,450,2054,3304,0
3686859,updated,Shipped,Shipped,Shipped,0,600,200,450,679,1929,0
3520098,updated,Shipped,Shipped,Shipped,0,600,100,0,1638,2338,0
3811949,updated,Shipped,Shipped,Shipped,0,0,0,0,4198,4198,0
3811355,updated,Shipped,Shipped,Shipped,0,0,0,0,4198,4198,0
3791311,updated,Shipped,Shipped,Shipped,0,0,0,0,4198,4198,0
3811966,updated,Shipped,Shipped,Shipped,0,0,0,0,4198,4198,0
3624926,updated,Shipped,Shipped,Shipped,0,300,0,0,0,300,0
3686976,updated,Shipped,Shipped,Shipped,0,600,150,450,1418,2618,0
3680298,updated,Shipped,Shipped,Shipped,0,600,100,450,415,1565,0
3663724,updated,Shipped,Shipped,Shipped,0,600,100,450,3828,4978,0
3804473,updated,Shipped,Shipped,Shipped,0,0,50,0,554,604,0
3804460,updated,Shipped,Shipped,Shipped,0,0,50,0,554,604,0
3804572,updated,Shipped,Shipped,Shipped,0,0,50,0,433,483,0
3804555,updated,Shipped,Shipped,Shipped,0,0,50,0,707,757,0
3761829,updated,Shipped,Shipped,Shipped,0,0,50,0,2310,2360,0
3724537,updated,Shipped,Shipped,Shipped,0,600,250,450,1967,3267,0
3764366,updated,Shipped,Shipped,Shipped,0,0,0,0,0,0,0
3716481,updated,Shipped,Shipped,Shipped,0,0,50,0,433,483,0
3641398,updated,Shipped,Shipped,Shipped,0,600,250,450,4278,5578,0
3786978,updated,Shipped,Shipped,Shipped,0,0,0,0,2382,2382,0
3745140,updated,Shipped,Shipped,Shipped,0,600,200,463,0,1263,0
3672999,updated,Shipped,Shipped,Shipped,0,0,0,203,0,203,0
3670398,updated,Shipped,Shipped,Shipped,0,0,0,203,0,203,0
3670428,updated,Shipped,Shipped,Shipped,0,0,0,203,0,203,0
3687176,updated,Shipped,Shipped,Shipped,0,600,100,575,562,1837,0
